,amenity,name,point,Closest_Sectors
0,fuel,Indian Oil,POINT (77.0909884 28.4892384),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722))]"
1,hospital,"Paras Hospital, Gurgaon",POINT (77.0876091 28.4509257),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 42', (28.4558973, 77.1084759)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 53', (28.4415191, 77.096805))]"
2,bank,HDFC Bank,POINT (77.102391 28.4400152),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157))]"
3,fuel,Bharat Petroleum,POINT (77.0478668 28.4324009),"[('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877))]"
4,fuel,Indian Oil,POINT (77.0373704 28.4255168),"[('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 72', (28.4159257, 77.0290772)), ('Sector 72A', (28.4233234, 77.0187775))]"
5,fuel,,POINT (77.0351409 28.4374888),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 72', (28.4159257, 77.0290772)), ('Sector 72A', (28.4233234, 77.0187775))]"
6,atm,HSBC Bank,POINT (77.0474903 28.4740435),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
7,atm,HDFC Bank,POINT (77.0475761 28.4740963),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
8,bank,Standard Chartered Bank,POINT (77.0481254 28.4730702),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
9,pharmacy,,POINT (77.047765 28.4742925),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
10,bank,ICICI Bank,POINT (77.0448914 28.4758053),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
11,bank,HDFC Bank,POINT (77.0450545 28.4760015),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
12,fast_food,Darbar,POINT (77.0406221 28.4528666),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 8', (28.4598966, 77.0198043))]"
13,pharmacy,,POINT (77.0393347 28.4541495),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 8', (28.4598966, 77.0198043))]"
14,fuel,,POINT (77.0557112 28.465521),"[('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
15,hospital,Max Hospital,POINT (77.0759312 28.462841),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
16,parking,,POINT (77.0635343 28.497566),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
17,parking,,POINT (77.062264 28.4962233),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
18,parking,,POINT (77.0610023 28.4947599),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
19,fuel,Hindustan Petroleum,POINT (77.0664904 28.4767267),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
20,atm,Citi Bank,POINT (77.0633541 28.4767072),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
21,pharmacy,,POINT (77.031011 28.46193),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043))]"
22,fuel,,POINT (77.0375084 28.4649633),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
23,fuel,,POINT (77.0378775 28.465152),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
24,fuel,Indian Oil,POINT (77.0371571 28.4672528),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
25,place_of_worship,,POINT (77.0381067 28.421708),"[('Sector 33', (28.4384785, 77.0251655)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 71', (28.4064564, 77.0233125)), ('Sector 72', (28.4159257, 77.0290772)), ('Sector 72A', (28.4233234, 77.0187775))]"
26,place_of_worship,,POINT (77.0352752 28.437035),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 72', (28.4159257, 77.0290772)), ('Sector 72A', (28.4233234, 77.0187775))]"
27,pharmacy,Gardian Pharmacy,POINT (77.0467817 28.4169284),"[('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 66', (28.3974292, 77.0538823)), ('Sector 69', (28.3960701, 77.0372311)), ('Sector 72', (28.4159257, 77.0290772))]"
28,pharmacy,,POINT (77.0511674 28.4174128),"[('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 65', (28.4030162, 77.0695893)), ('Sector 66', (28.3974292, 77.0538823)), ('Sector 72', (28.4159257, 77.0290772))]"
29,fast_food,Bikanervala,POINT (77.0638804 28.4689302),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
30,restaurant,Park Baluchi,POINT (77.0644002 28.4684904),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
31,fast_food,,POINT (77.0669775 28.4689088),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
32,fast_food,Domino's,POINT (77.0432317 28.4113681),"[('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 66', (28.3974292, 77.0538823)), ('Sector 69', (28.3960701, 77.0372311)), ('Sector 71', (28.4064564, 77.0233125)), ('Sector 72', (28.4159257, 77.0290772))]"
33,atm,ICICI Bank,POINT (77.043077 28.4109126),"[('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 66', (28.3974292, 77.0538823)), ('Sector 68', (28.388897, 77.0459859)), ('Sector 69', (28.3960701, 77.0372311)), ('Sector 71', (28.4064564, 77.0233125)), ('Sector 72', (28.4159257, 77.0290772))]"
34,atm,,POINT (77.1019571 28.4717609),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 42', (28.4558973, 77.1084759)), ('Sector 43', (28.4548735, 77.0858864))]"
35,bank,HSBC,POINT (77.0851086 28.4810092),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722))]"
36,bank,Lord Krishna Bank,POINT (77.0831985 28.4795112),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
37,bank,Kotak Mahindra Bank;india,POINT (77.0848883 28.4808629),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722))]"
38,atm,State Bank of India,POINT (77.047729 28.4741534),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
39,atm,HDFC Bank,POINT (77.0384039 28.4557573),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 8', (28.4598966, 77.0198043))]"
40,atm,State Bank of India,POINT (77.0382109 28.4560738),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 8', (28.4598966, 77.0198043))]"
41,fuel,IBP Petrol Station,POINT (77.0285383 28.4554895),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 8', (28.4598966, 77.0198043))]"
42,atm,,POINT (77.0706974 28.4748625),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
43,fuel,Indian Oil,POINT (76.9672657 28.3818927),"[('Sector 76', (28.3910112, 76.9900243)), ('Sector 77', (28.3832337, 76.982557)), ('Sector 78', (28.3725283, 76.9702955)), ('Sector 80', (28.3702173, 76.9611159)), ('Sector 81', (28.3873647, 76.9475835)), ('Sector 82', (28.3931076, 76.9588762)), ('Sector 82A', (28.3858766, 76.9639317)), ('Sector 83', (28.3981087, 76.9732873)), ('Sector 79', (28.36397715506277, 76.9805550962224))]"
44,fuel,Petrol Pump Indian Oil,POINT (76.9783194 28.3926607),"[('Sector 76', (28.3910112, 76.9900243)), ('Sector 77', (28.3832337, 76.982557)), ('Sector 78', (28.3725283, 76.9702955)), ('Sector 82', (28.3931076, 76.9588762)), ('Sector 82A', (28.3858766, 76.9639317)), ('Sector 83', (28.3981087, 76.9732873)), ('Sector 84', (28.4082289, 76.9630245))]"
45,fuel,Petrol Pump Indian Oil,POINT (76.9929142 28.4098097),"[('Sector 35', (28.4145669, 77.0018689)), ('Sector 36', (28.419334, 76.9889256)), ('Sector 36A', (28.4202285, 76.9719998)), ('Sector 74', (28.4112763, 77.010669)), ('Sector 76', (28.3910112, 76.9900243)), ('Sector 83', (28.3981087, 76.9732873))]"
46,fuel,Petrol Pump IBP,POINT (76.997265 28.4192219),"[('Sector 35', (28.4145669, 77.0018689)), ('Sector 36', (28.419334, 76.9889256)), ('Sector 36A', (28.4202285, 76.9719998)), ('Sector 37B', (28.4333189, 76.9813419)), ('Sector 72A', (28.4233234, 77.0187775)), ('Sector 74', (28.4112763, 77.010669))]"
47,restaurant,Dhaba,POINT (77.0670586 28.2972557),[]
48,fast_food,Nirula's,POINT (77.0431666 28.4106834),"[('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 66', (28.3974292, 77.0538823)), ('Sector 68', (28.388897, 77.0459859)), ('Sector 69', (28.3960701, 77.0372311)), ('Sector 71', (28.4064564, 77.0233125)), ('Sector 72', (28.4159257, 77.0290772))]"
49,parking,Sulpantpur Lake Parking,POINT (76.8919788 28.4680471),[]
50,parking,DumDuma Lake Parking,POINT (77.1279583 28.2994923),[]
51,parking,,POINT (77.0638017 28.244918),[]
52,parking,,POINT (76.8903581 28.4676152),[]
53,parking,,POINT (77.0764294 28.459162),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 52', (28.4368166, 77.0795276))]"
54,bank,ICICI Bank,POINT (77.076436 28.4590293),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 52', (28.4368166, 77.0795276))]"
55,bank,HDFC Bank,POINT (77.0763889 28.4590161),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 52', (28.4368166, 77.0795276))]"
56,parking,,POINT (77.0453033 28.4700706),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
57,school,"Delhi Public School, Primary Section",POINT (77.0525305 28.4295352),"[('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877))]"
58,school,CR Model Public School,POINT (77.0458728 28.4463106),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128))]"
59,fuel,,POINT (76.9592671 28.47291),"[('Sector 102', (28.4754872, 76.9711747)), ('Sector 102A', (28.4830826, 76.9779064)), ('Sector 99', (28.4645549, 76.9628585)), ('Sector 99A', (28.4554059, 76.9510278))]"
60,fuel,,POINT (76.9391982 28.472546),"[('Sector 99', (28.4645549, 76.9628585)), ('Sector 99A', (28.4554059, 76.9510278))]"
61,school,Salvan Public School,POINT (77.0465147 28.4636101),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
62,fuel,Indian Oil,POINT (77.0725091 28.2444353),[]
63,fast_food,Om Sweets,POINT (77.050279 28.4529218),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045))]"
64,atm,,POINT (77.0507109 28.4529381),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045))]"
65,hospital,Pushpanjali Hospital,POINT (77.0328448 28.4508125),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 8', (28.4598966, 77.0198043))]"
66,restaurant,Naveidyam,POINT (77.0789762 28.4649041),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864))]"
67,fuel,,POINT (77.0726152 28.463932),"[('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
68,parking,,POINT (77.0292685 28.4481945),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 8', (28.4598966, 77.0198043))]"
69,parking,,POINT (77.0311706 28.4482254),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 8', (28.4598966, 77.0198043))]"
