,amenity,name,point,Closest_Sectors
1000,parking,,POINT (77.061204 28.478202966666668),"[('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
1001,parking,,POINT (77.0607821586568 28.478777383021175),"[('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
1002,parking,,POINT (77.05133822088709 28.453722780547285),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045))]"
1003,parking,,POINT (77.05059886579447 28.452972349285087),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045))]"
1004,parking,,POINT (77.09054614854365 28.512209562488753),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1005,school,Delhi Public School,POINT (77.06459626590629 28.441744945196348),"[('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 52', (28.4368166, 77.0795276))]"
1006,hospital,Neelkanth Hospital Pvt. Ltd,POINT (77.10766032922761 28.48340699384794),"[('Sector 25', (28.4860888, 77.084224))]"
1007,school,iDiscovery School,POINT (77.05680763436231 28.430495847385384),"[('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 57', (28.4232478, 77.0804487))]"
1008,school,SD Adarsh Vidyalaya,POINT (77.03990485230145 28.42232620487914),"[('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 71', (28.4064564, 77.0233125)), ('Sector 72', (28.4159257, 77.0290772)), ('Sector 72A', (28.4233234, 77.0187775))]"
1009,school,Starex International School,POINT (76.86453801584891 28.298240375825873),[]
1010,parking,,POINT (77.06726562157468 28.46526963804504),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
1011,school,Amity Global School,POINT (77.06312446081333 28.43400016961794),"[('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 57', (28.4232478, 77.0804487))]"
1012,school,,POINT (76.99092193446525 28.46232392146883),"[('Sector 102', (28.4754872, 76.9711747)), ('Sector 104', (28.4795324, 76.9937197)), ('Sector 10A', (28.4445813, 77.0060231)), ('Sector 37C', (28.4489095, 76.9880502)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 9A', (28.4690266, 76.9962811))]"
1013,school,Rotary Public School,POINT (77.0622983848073 28.50185739014239),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1014,hospital,Sheetla Hospital And Eye Institute Private Ltd,POINT (77.02551473333332 28.46808276666667),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043))]"
1015,school,Pathways World School,POINT (77.01221523070457 28.31117390542799),[]
1016,restaurant,Canteen,POINT (77.06439638434065 28.49540516908557),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1017,parking,,POINT (77.0622717463921 28.49527380515201),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1018,parking,,POINT (77.06182936581222 28.493185057965608),"[('Sector 23', (28.510319, 77.0530094)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1019,parking,,POINT (77.07469664378938 28.496110262218806),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1020,parking,"Final vehicle parking area ""B""",POINT (77.06294123765538 28.494575239815635),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1021,parking,,POINT (77.0747543299065 28.496976685923087),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
